Lata;Ogó³em;Wojska zaciê¿ne kwarciane;Wojska zaciê¿ne inne;Wojska zaciê¿ne Litwa;Piechota wybraniecka;Wojska prywatne;Kozacy zaporoscy;Wojska zaciê¿ne jazda;Wojska zaciê¿ne piechota
1586;2 150;850;1 300;;;;;930;1 220
1587;12 500;2 550;2 240;;;7 700;;3 210;1 580
1588;3 600;2 000;1 600;;;;;2 050;1 550
1589;15 000;3 580;7 320;;;;4 000;9 000;1 900
1590;13 300;2 250;500;;2 306;3 250;5 000;2 250;500
1591;1 800;1 000;200;;;;600;800;400
1592;1 800;1 000;200;;;;600;800;400
1593;1 800;1 000;200;;;;600;800;400
1594;3 200;2 400;200;;;;600;2 200;400
1595;8 250;1 000;5 750;;1 500;;;5 750;1 000
1596;10 000;1 000;4 558;1 530;1 244;;;5 988;1 100
1597;2 160;1 660;;;;;500;1 260;400
1598;2 170;1 520;150;;;;500;1 320;350
1599;2 170;1 520;150;;;;500;1 320;350
1600;14 650;1 520;6 658;;1 475;2 000;3 000;6 278;1 900
1601;18 870;1 550;9 220;3 500;1 500;1 100;2 000;8 770;5 500
1602;12 480;1 550;5 929;2 300;1 200;;1 500;4 150;5 629
1603;6 200;1 500;1 500;2 200;;;1 000;2 600;2 600
1604;6 750;1 100;1 800;2 000;850;;1 000;2 400;2 500
1605;7 600;1 600;1 000;4 000;;;1 000;3 600;3 000
1606;8 000;2 876;700;3 000;500;;1 000;4 700;1 800
1607;8 200;3 040;700;3 000;500;;1 000;4 800;1 900
1608;8 000;2 800;700;3 000;500;;1 000;4 700;1 800
1609;23 000;1 650;13 000;;500;3 000;5 000;9 150;5 500
1610;25 000;1 650;16 700;;1 500;;5 000;14 850;3 500
1611;20 750;1 650;13 600;;1 500;;4 000;11 350;3 900
1612;26 000;2 430;16 000;;500;3 000;4 000;12 000;6 500
1613;13 200;1 680;6 000;;500;5 000;;2 800;4 880
1614;13 200;1 680;6 000;;500;5 000;;2 800;4 880
1615;13 200;1 680;6 000;;500;5 000;;2 800;4 880
1616;13 200;1 680;6 000;;500;5 000;;2 800;4 880
1617;29 700;1 680;12 000;;1 000;15 000;;7 300;6 400
1618;54 500;3 500;20 000;;1 200;9 700;20 000;14 500;9 000
1619;16 200;3 500;6 000;;700;6 000;;6 500;3 000
1620;18 000;3 500;5 500;;500;5 500;3 000;6 500;2 500
1621;86 000;;37 200;;1 500;1 900;20 000;21 000;16 200
1622;12 600;2 200;;6 500;500;400;3 000;5 600;3 100
1623;8 250;2 550;;;1 200;1 500;3 000;2 150;400
1624;7 200;2 300;;;;1 450;3 000;1 950;350
1625;17 400;4 700;;5 000;;7 700;;6 800;2 900
1626;35 800;6 900;6 700;5 000;1 200;10 000;6 000;11 800;6 800
1627;28 100;2 300;14 800;5 000;;;6 000;11 430;10 670
1628;31 400;2 300;16 735;5 000;1 380;;6 000;12 000;12 035
1629;35 400;3 600;19 935;5 000;900;;6 000;13 890;14 645
1630;19 500;3 600;7 900;;1 000;1 000;6 000;;
1631;9 300;2 200;;;500;600;6 000;1 370;830
1632;17 220;3 390;3 330;4 500;;;6 000;7 700;3 520
1633;45 000;3 390;27 700;;;8 000;6 000;12 500;18 500
1634;53 000;6 000;20 000;;1 500;18 700;7 000;13 500;12 500
1635;34 000;;24 600;2 500;;;7 000;11 550;15 500
1636;12 750;3 750;;2 000;;;7 000;2 950;2 800
1637;9 800;6 060;600;2 000;600;600;;5 200;3 400
1638;14 000;4 800;600;2 000;;6 000;;3 500;3 900
1639;13 400;4 800;600;2 000;;;6 000;3 500;3 900
1640;13 400;4 800;600;2 000;;;6 000;3 500;3 900
1641;13 400;4 800;600;2 000;;;6 000;3 500;3 900
1642;13 400;4 800;600;2 000;;;6 000;3 500;3 900
1643;13 400;4 800;600;2 000;;;6 000;3 500;3 900
1644;26 400;4 200;190;2 000;;14 000;6 000;3 400;3 000
1645;12 400;4 200;190;2 000;;;6 000;3 400;3 000
1646;12 400;4 200;190;2 000;;;6 000;3 400;3 000
1647;12 250;4 045;190;2 000;;;6 000;3 250;3 000
1648;12 250;4 045;190;2 000;;;6 000;3 250;3 000
