Lata;Ogółem;Najazd;Rozbój;Napad w miejscu publicznym, tumult;Konflikt graniczny;Pojedynek;Podpalenie;Gwałt
1660―1664;100.0;20.8;12.0;18.8;43.1;2.7;1.0;1.5
1674―1678;100.0;22.6;14.3;17.1;32.3;10.1;1.3;2.3
1688―1692;100.0;18.0;12.1;18.9;30.4;11.5;8.0;1.1
1702―1706;100.0;11.0;11.4;26.2;29.3;10.1;6.6;5.4
1716―1720;100.0;10.0;13.7;15.8;42.0;11.9;2.4;4.3
1730―1734;100.0;10.4;7.2;22.7;48.9;7.1;1.3;2.4
1744―1748;100.0;9.6;5.6;17.3;54.6;10.0;0.6;2.3
1758―1762;100.0;9.2;8.0;21.0;51.5;7.0;0.7;2.6
1772―1776;100.0;16.6;8.7;17.7;47.8;8.7;0.3;0.3
1786―1790;100.0;12.5;7.7;16.3;60.1;2.9;0.6;0.0
