Species,catalog.num,field.num,SVL,Head.width,Head.length,Internarial,Interorbital,Eye.length,Eye.naris,Naris.snout,Antebrachial.length,Femur.length,Tibio.fibula,Family
Alsodes_nodosus,118108,,47.39,15.94,18.74,2.29,6.09,5.48,3.44,1.82,11.98,22.85,22.47,Alsodidae
Eupsophus_roseus,118110,,37.66,12.55,14.39,2.92,4.53,4.5,2.95,1.49,9.99,18.99,18.31,Alsodidae
Eupsophus_roseus,118109,,40.27,13.37,13.82,2.91,4.19,4.77,2.92,1.53,9.96,19.74,18.69,Alsodidae
Eupsophus_roseus,123067,,43.8,15.34,15.28,3.04,4.45,4.84,3.62,1.47,9.83,19.67,18.54,Alsodidae
Alytes_cisternasii,67188,,32.26,14.31,12.37,3.19,7.06,4.84,3.47,1.83,7.66,13.41,12.21,Alytidae
Alytes_obstetricans,183605,,36.45,13.83,14.04,2.16,5.86,3.9,3.5,1.25,10.55,13.51,14.26,Alytidae
Alytes_obstetricans,240765,,34.64,12.97,13.82,2.07,5.7,3.48,3.61,1.73,8.92,14.12,13.86,Alytidae
Discoglossus_pictus,116983,,54.63,16.55,16.37,2.14,8,4.79,4.33,1.92,10.17,24.53,28.76,Alytidae
Discoglossus_pictus,65684,M,55.85,15.45,17.95,2.57,5.96,3.83,3.72,2.44,10.48,25.62,29.28,Alytidae
Discoglossus_pictus,65684,,52.93,15.33,17.58,2.15,6.64,4.24,4.32,2.44,11.79,25.6,27.47,Alytidae
Arthroleptis_reichei,70315,A,30.63,11.81,10.53,3.17,5.67,4.48,2.9,2.17,7.93,15.63,16.23,Arthroleptidae
Arthroleptis_reichei,70315,B,29.41,11.08,11.15,3.56,5.2,3.87,2.45,1.32,7.96,15.32,16.09,Arthroleptidae
Arthroleptis_reichei,70315,C,29.35,9.45,11.1,3.26,5.36,3.9,2.76,1.79,7.37,13.67,16.06,Arthroleptidae
Arthroleptis_wahlbergii,185786,,31.84,12.87,12.64,3.01,5.78,4.1,2.37,2.11,7.89,12.68,12.64,Arthroleptidae
Arthroleptis_wahlbergii,185787,,32.53,12.53,11.17,3.48,5.74,4.2,2.22,2.14,7.71,12.45,12.24,Arthroleptidae
