year,province1,prov1_battle,province2,prov2_battle,road,road_battle,lagged_battle,neighbors,area,landlocked,prov1_terrain_ruggedness,region_id,region,region_toosandoo,region_tookaidoo,region_hokurikudoo,region_kinai,region_nankaidoo,region_sanindoo,region_sanyoodoo,region_saikaidoo
1467,aki,1,suo,,1,,,3,4313.56,0,229.41,7,sanyoudou,0,0,0,0,0,0,1,0
1467,aki,1,iwami,,0,,,3,4313.56,0,229.41,7,sanyoudou,0,0,0,0,0,0,1,0
1467,aki,1,bingo,,1,,,3,4313.56,0,229.41,7,sanyoudou,0,0,0,0,0,0,1,0
1467,awa1,0,kazusa,,1,,,1,686.77,0,104.67,2,toukaidou,0,1,0,0,0,0,0,0
1467,awa2,0,iyo,,0,,,3,4132.61,0,337.25,5,nankaidou,0,0,0,0,1,0,0,0
1467,awa2,0,tosa,,0,,,3,4132.61,0,337.25,5,nankaidou,0,0,0,0,1,0,0,0
1467,awa2,0,sanuki,,1,,,3,4132.61,0,337.25,5,nankaidou,0,0,0,0,1,0,0,0
1467,bingo,0,aki,,1,,,5,3715.59,0,166.73,7,sanyoudou,0,0,0,0,0,0,1,0
1467,bingo,0,iwami,,0,,,5,3715.59,0,166.73,7,sanyoudou,0,0,0,0,0,0,1,0
1467,bingo,0,izumo,,0,,,5,3715.59,0,166.73,7,sanyoudou,0,0,0,0,0,0,1,0
1467,bingo,0,bicchu,,1,,,5,3715.59,0,166.73,7,sanyoudou,0,0,0,0,0,0,1,0
1467,bingo,0,houki,,0,,,5,3715.59,0,166.73,7,sanyoudou,0,0,0,0,0,0,1,0
1467,bicchu,0,bingo,,1,,,4,2638.75,0,184.23,7,sanyoudou,0,0,0,0,0,0,1,0
1467,bicchu,0,bizen,,1,,,4,2638.75,0,184.23,7,sanyoudou,0,0,0,0,0,0,1,0
1467,bicchu,0,mimasaka,,0,,,4,2638.75,0,184.23,7,sanyoudou,0,0,0,0,0,0,1,0
1467,bicchu,0,houki,,0,,,4,2638.75,0,184.23,7,sanyoudou,0,0,0,0,0,0,1,0
1467,bizen,1,bicchu,,1,,,3,1820.08,0,145.03,7,sanyoudou,0,0,0,0,0,0,1,0
1467,bizen,1,mimasaka,,0,,,3,1820.08,0,145.03,7,sanyoudou,0,0,0,0,0,0,1,0
1467,bizen,1,harima,,1,,,3,1820.08,0,145.03,7,sanyoudou,0,0,0,0,0,0,1,0
1467,bungo,0,hyuuga,,1,,,5,5401.68,0,210.23,8,saikaidou,0,0,0,0,0,0,0,1
1467,bungo,0,buzen,,1,,,5,5401.68,0,210.23,8,saikaidou,0,0,0,0,0,0,0,1
1467,bungo,0,chikuzen,,1,,,5,5401.68,0,210.23,8,saikaidou,0,0,0,0,0,0,0,1
1467,bungo,0,chikugo,,0,,,5,5401.68,0,210.23,8,saikaidou,0,0,0,0,0,0,0,1
1467,bungo,0,higo,,1,,,5,5401.68,0,210.23,8,saikaidou,0,0,0,0,0,0,0,1
1467,buzen,0,bungo,,1,,,2,2103.64,0,177.36,8,saikaidou,0,0,0,0,0,0,0,1
1467,buzen,0,chikuzen,,1,,,2,2103.64,0,177.36,8,saikaidou,0,0,0,0,0,0,0,1
1467,chikugo,0,bungo,,0,,,4,1275.43,0,136.77,8,saikaidou,0,0,0,0,0,0,0,1
1467,chikugo,0,chikuzen,,0,,,4,1275.43,0,136.77,8,saikaidou,0,0,0,0,0,0,0,1
1467,chikugo,0,hizen,,1,,,4,1275.43,0,136.77,8,saikaidou,0,0,0,0,0,0,0,1
1467,chikugo,0,higo,,1,,,4,1275.43,0,136.77,8,saikaidou,0,0,0,0,0,0,0,1
1467,chikuzen,1,buzen,,1,,,4,2492.58,0,162.61,8,saikaidou,0,0,0,0,0,0,0,1
1467,chikuzen,1,bungo,,1,,,4,2492.58,0,162.61,8,saikaidou,0,0,0,0,0,0,0,1
1467,chikuzen,1,chikugo,,0,,,4,2492.58,0,162.61,8,saikaidou,0,0,0,0,0,0,0,1
1467,chikuzen,1,hizen,,1,,,4,2492.58,0,162.61,8,saikaidou,0,0,0,0,0,0,0,1
1467,dewa,0,mutsu,,1,,,2,18401.59,0,190.97,1,tousandou,1,0,0,0,0,0,0,0
1467,dewa,0,echigo,,0,,,2,18401.59,0,190.97,1,tousandou,1,0,0,0,0,0,0,0
1467,echigo,0,dewa,,0,,,5,11515.81,0,242.35,3,hokurikudou,0,0,1,0,0,0,0,0
1467,echigo,0,mutsu,,0,,,5,11515.81,0,242.35,3,hokurikudou,0,0,1,0,0,0,0,0
1467,echigo,0,kouzuke,,0,,,5,11515.81,0,242.35,3,hokurikudou,0,0,1,0,0,0,0,0
1467,echigo,0,shinano,,1,,,5,11515.81,0,242.35,3,hokurikudou,0,0,1,0,0,0,0,0
1467,echigo,0,ecchu,,1,,,5,11515.81,0,242.35,3,hokurikudou,0,0,1,0,0,0,0,0
1467,echizen,0,wakasa,,1,,,5,3298.5,0,273.09,3,hokurikudou,0,0,1,0,0,0,0,0
1467,echizen,0,oumi,,1,,,5,3298.5,0,273.09,3,hokurikudou,0,0,1,0,0,0,0,0
1467,echizen,0,mino,,0,,,5,3298.5,0,273.09,3,hokurikudou,0,0,1,0,0,0,0,0
1467,echizen,0,kaga,,1,,,5,3298.5,0,273.09,3,hokurikudou,0,0,1,0,0,0,0,0
1467,echizen,0,hida,,0,,,5,3298.5,0,273.09,3,hokurikudou,0,0,1,0,0,0,0,0
1467,ecchu,0,echigo,,1,,,5,4246.09,0,325.31,3,hokurikudou,0,0,1,0,0,0,0,0
1467,ecchu,0,shinano,,0,,,5,4246.09,0,325.31,3,hokurikudou,0,0,1,0,0,0,0,0
1467,ecchu,0,hida,,0,,,5,4246.09,0,325.31,3,hokurikudou,0,0,1,0,0,0,0,0
1467,ecchu,0,noto,,0,,,5,4246.09,0,325.31,3,hokurikudou,0,0,1,0,0,0,0,0
1467,ecchu,0,kaga,,1,,,5,4246.09,0,325.31,3,hokurikudou,0,0,1,0,0,0,0,0
1467,harima,1,bizen,,1,,,6,4211.55,0,187.01,7,sanyoudou,0,0,0,0,0,0,1,0
1467,harima,1,mimasaka,,1,,,6,4211.55,0,187.01,7,sanyoudou,0,0,0,0,0,0,1,0
1467,harima,1,tajima,,0,,,6,4211.55,0,187.01,7,sanyoudou,0,0,0,0,0,0,1,0
1467,harima,1,inaba,,0,,,6,4211.55,0,187.01,7,sanyoudou,0,0,0,0,0,0,1,0
1467,harima,1,tanba,,0,,,6,4211.55,0,187.01,7,sanyoudou,0,0,0,0,0,0,1,0
1467,harima,1,settsu,,1,,,6,4211.55,0,187.01,7,sanyoudou,0,0,0,0,0,0,1,0
1467,hida,0,mino,,1,,,5,4195.8,1,385.48,1,tousandou,1,0,0,0,0,0,0,0
1467,hida,0,echizen,,0,,,5,4195.8,1,385.48,1,tousandou,1,0,0,0,0,0,0,0
1467,hida,0,kaga,,0,,,5,4195.8,1,385.48,1,tousandou,1,0,0,0,0,0,0,0
1467,hida,0,ecchu,,0,,,5,4195.8,1,385.48,1,tousandou,1,0,0,0,0,0,0,0
1467,hida,0,shinano,,0,,,5,4195.8,1,385.48,1,tousandou,1,0,0,0,0,0,0,0
1467,higo,0,satsuma,,1,,,4,7324.94,0,211.91,8,saikaidou,0,0,0,0,0,0,0,1
1467,higo,0,hyuuga,,0,,,4,7324.94,0,211.91,8,saikaidou,0,0,0,0,0,0,0,1
1467,higo,0,bungo,,1,,,4,7324.94,0,211.91,8,saikaidou,0,0,0,0,0,0,0,1
1467,higo,0,chikugo,,1,,,4,7324.94,0,211.91,8,saikaidou,0,0,0,0,0,0,0,1
1467,hitachi,0,shimousa,,1,,,3,5562.37,0,72.34,2,toukaidou,0,1,0,0,0,0,0,0
1467,hitachi,0,shimotsuke,,0,,,3,5562.37,0,72.34,2,toukaidou,0,1,0,0,0,0,0,0
1467,hitachi,0,mutsu,,1,,,3,5562.37,0,72.34,2,toukaidou,0,1,0,0,0,0,0,0
1467,hizen,1,chikuzen,,1,,,2,4760.32,0,167.53,8,saikaidou,0,0,0,0,0,0,0,1
1467,hizen,1,chikugo,,1,,,2,4760.32,0,167.53,8,saikaidou,0,0,0,0,0,0,0,1
1467,houki,0,bingo,,0,,,5,2036.37,0,213.27,6,sanindou,0,0,0,0,0,1,0,0
1467,houki,0,izumo,,1,,,5,2036.37,0,213.27,6,sanindou,0,0,0,0,0,1,0,0
