year,province,battle,adjacent_battle,road_battle,lagged_battle,peace_years,neighbors,area,region_tousan,region_toukai,region_hokuriku,region_kinai,region_nankai,region_sanin,region_sanyou,region_saikai,terrain_ruggedness
1467,aki,1,0,0,,0,3,4313.56,0,0,0,0,0,0,1,0,229.41
1467,awa1,0,0,0,,1,1,686.77,0,1,0,0,0,0,0,0,104.67
1467,awa2,0,0,0,,1,3,4132.61,0,0,0,0,1,0,0,0,337.25
1467,bicchu,0,1,1,,1,4,2638.75,0,0,0,0,0,0,1,0,184.23
1467,bingo,0,1,1,,1,5,3715.59,0,0,0,0,0,0,1,0,166.73
1467,bizen,1,1,1,,0,3,1820.08,0,0,0,0,0,0,1,0,145.03
1467,bungo,0,1,1,,1,5,5401.68,0,0,0,0,0,0,0,1,210.23
1467,buzen,0,1,1,,1,2,2103.64,0,0,0,0,0,0,0,1,177.36
1467,chikugo,0,1,1,,1,4,1275.43,0,0,0,0,0,0,0,1,136.77
1467,chikuzen,1,0,0,,0,4,2492.58,0,0,0,0,0,0,0,1,162.61
1467,dewa,0,0,0,,1,2,18401.59,1,0,0,0,0,0,0,0,190.97
1467,ecchu,0,1,0,,1,5,4246.09,0,0,1,0,0,0,0,0,325.31
1467,echigo,0,1,1,,1,5,11515.81,0,0,1,0,0,0,0,0,242.35
1467,echizen,0,1,1,,1,5,3298.5,0,0,1,0,0,0,0,0,273.09
1467,harima,1,0,0,,0,6,4211.55,0,0,0,0,0,0,1,0,187.01
1467,hida,0,1,0,,1,5,4195.8,1,0,0,0,0,0,0,0,385.48
1467,higo,0,0,0,,1,4,7324.94,0,0,0,0,0,0,0,1,211.91
1467,hitachi,0,0,0,,1,3,5562.37,0,1,0,0,0,0,0,0,72.34
1467,hizen,1,0,0,,0,2,4760.32,0,0,0,0,0,0,0,1,167.53
1467,houki,0,1,0,,1,5,2036.37,0,0,0,0,0,1,0,0,213.27
1467,hyuuga,0,0,0,,1,4,8227.16,0,0,0,0,0,0,0,1,252.52
1467,iga,0,1,0,,1,4,885.44,0,1,0,0,0,0,0,0,171.69
1467,inaba,0,1,0,,1,4,1432.43,0,0,0,0,0,1,0,0,270.71
1467,ise,1,1,0,,0,7,3506.41,0,1,0,0,0,0,0,0,201.76
1467,iwami,0,1,0,,1,5,3760.11,0,0,0,0,0,1,0,0,217.38
1467,iyo,0,0,0,,1,3,5461.32,0,0,0,0,1,0,0,0,316.54
1467,izu,0,0,0,,1,2,1470.43,0,1,0,0,0,0,0,0,260.25
1467,izumi,0,1,1,,1,3,738.87,0,0,0,1,0,0,0,0,131.45
1467,izumo,0,0,0,,1,3,2687.53,0,0,0,0,0,1,0,0,155.56
1467,kaga,0,0,0,,1,4,2171.04,0,0,1,0,0,0,0,0,248.98
1467,kai,0,1,0,,1,4,4471.08,0,1,0,0,0,0,0,0,394.21
1467,kawachi,0,1,1,,1,5,405.67,0,0,0,1,0,0,0,0,87.56
1467,kazusa,0,0,0,,1,2,2583.24,0,1,0,0,0,0,0,0,44.8
1467,kii,1,1,0,,0,4,5712.59,0,0,0,0,1,0,0,0,254.03
1467,kouzuke,0,1,1,,1,6,6395.51,1,0,0,0,0,0,0,0,257.99
1467,mikawa,0,1,0,,1,4,3370.87,0,1,0,0,0,0,0,0,153.71
1467,mimasaka,1,1,1,,0,5,2570.88,0,0,0,0,0,0,1,0,217.15
1467,mino,0,1,1,,1,7,7914.92,1,0,0,0,0,0,0,0,279.26
1467,musashi,0,1,0,,1,5,5933.03,0,1,0,0,0,0,0,0,123.41
1467,mutsu,0,0,0,,1,5,48432.08,1,0,0,0,0,0,0,0,183.43
1467,nagato,0,0,0,,1,2,2372,0,0,0,0,0,0,1,0,173.88
1467,noto,0,0,0,,1,2,2063.37,0,0,1,0,0,0,0,0,110.32
1467,osumi,0,0,0,,1,2,3834.17,0,0,0,0,0,0,0,1,210.86
1467,oumi,1,1,1,,0,7,3909.26,1,0,0,0,0,0,0,0,168.49
1467,owari,0,1,1,,1,3,1751.16,0,1,0,0,0,0,0,0,29.4
1467,sagami,0,0,0,,1,4,2002.77,0,1,0,0,0,0,0,0,184.31
1467,sanuki,0,0,0,,1,2,1652.96,0,0,0,0,1,0,0,0,167.94
1467,satsuma,0,0,0,,1,3,3539.38,0,0,0,0,0,0,0,1,154.55
1467,settsu,1,1,1,,0,5,1380.59,0,0,0,1,0,0,0,0,131.81
1467,shima,0,1,1,,1,1,343.43,0,1,0,0,0,0,0,0,100.57
1467,shimotsuke,0,0,0,,1,4,6291.09,1,0,0,0,0,0,0,0,179.99
1467,shimousa,0,0,0,,1,5,2833.68,0,1,0,0,0,0,0,0,15.3
1467,shinano,1,0,0,,0,10,12083.18,1,0,0,0,0,0,0,0,350.72
1467,suo,0,1,1,,1,3,3549.75,0,0,0,0,0,0,1,0,196.93
1467,suruga,0,1,0,,1,5,3348.18,0,1,0,0,0,0,0,0,333.95
1467,tajima,0,1,1,,1,4,2334.59,0,0,0,0,0,1,0,0,276.47
1467,tanba,1,1,1,,0,7,2805.21,0,0,0,0,0,1,0,0,209.63
1467,tango,0,1,1,,1,3,1352.15,0,0,0,0,0,1,0,0,201.56
1467,tosa,0,0,0,,1,2,7174.71,0,0,0,0,1,0,0,0,319.07
1467,toutoumi,0,1,0,,1,3,2979.13,0,1,0,0,0,0,0,0,235.65
1467,wakasa,0,1,1,,1,4,904.47,0,0,1,0,0,0,0,0,276.13
1467,yamashiro,1,1,1,,0,6,1038.34,0,0,0,1,0,0,0,0,151.14
1467,yamato,1,1,1,,0,5,3679.69,0,0,0,1,0,0,0,0,305.85
1468,aki,0,1,1,1,1,3,4313.56,0,0,0,0,0,0,1,0,229.41
1468,awa1,0,0,0,0,2,1,686.77,0,1,0,0,0,0,0,0,104.67
1468,awa2,0,0,0,0,2,3,4132.61,0,0,0,0,1,0,0,0,337.25
1468,bicchu,0,1,1,0,2,4,2638.75,0,0,0,0,0,0,1,0,184.23
1468,bingo,1,1,1,0,0,5,3715.59,0,0,0,0,0,0,1,0,166.73
1468,bizen,0,1,1,1,1,3,1820.08,0,0,0,0,0,0,1,0,145.03
1468,bungo,0,1,1,0,2,5,5401.68,0,0,0,0,0,0,0,1,210.23
1468,buzen,0,1,1,0,2,2,2103.64,0,0,0,0,0,0,0,1,177.36
1468,chikugo,0,1,1,0,2,4,1275.43,0,0,0,0,0,0,0,1,136.77
1468,chikuzen,0,1,1,1,1,4,2492.58,0,0,0,0,0,0,0,1,162.61
1468,dewa,0,0,0,0,2,2,18401.59,1,0,0,0,0,0,0,0,190.97
1468,ecchu,0,1,1,0,2,5,4246.09,0,0,1,0,0,0,0,0,325.31
1468,echigo,0,1,1,0,2,5,11515.81,0,0,1,0,0,0,0,0,242.35
1468,echizen,1,1,1,0,0,5,3298.5,0,0,1,0,0,0,0,0,273.09
1468,harima,0,1,1,1,1,6,4211.55,0,0,0,0,0,0,1,0,187.01
1468,hida,0,1,1,0,2,5,4195.8,1,0,0,0,0,0,0,0,385.48
1468,higo,0,0,0,0,2,4,7324.94,0,0,0,0,0,0,0,1,211.91
