TortureRef,TortureSystemId,TortureID,Trialref,Tortureexists,Torturedate,Torturedate_as_date,Torturetype,Createdby,Createdate,Lastupdatedby,Lastupdatedon
TO/JO/111,JO,111,T/LA/1294,True,6/1658,1658-05-09 00:00:00,Burning feet,jhm,2002-07-04 14:05:33,jhm,2002-07-04 14:05:42
TO/JO/112,JO,112,T/LA/1296,True,6/1658,1658-05-09 00:00:00,Burning feet,jhm,2002-07-04 14:36:37,jhm,2002-07-04 14:36:46
TO/JO/114,JO,114,T/JO/1688,True,2/1598,1597-12-25 00:00:00,Various,jhm,2002-08-02 11:15:31,jhm,2002-11-13 12:37:23
TO/JO/122,JO,122,T/JO/788,True,4/1650,1650-03-07 00:00:00,Sleep Deprivation,jhm,2002-10-09 16:38:48,jhm,2002-10-09 16:38:58
TO/JO/123,JO,123,T/JO/789,True,4/1650,1650-03-07 00:00:00,Sleep Deprivation,jhm,2002-10-09 16:39:46,jhm,2002-10-09 16:39:56
TO/JO/124,JO,124,T/LA/88,True,,,Sleep Deprivation,jhm,2002-10-21 15:47:15,jhm,2002-10-21 15:47:22
TO/JO/125,JO,125,T/JO/995,True,,,Sleep Deprivation,jhm,2002-10-21 15:57:53,jhm,2002-10-21 15:58:00
TO/JO/126,JO,126,T/JO/995,True,,,Bound with ropes,jhm,2002-10-21 15:58:00,jhm,2002-10-21 15:58:08
TO/JO/127,JO,127,T/JO/995,True,,,Whip,jhm,2002-10-21 15:58:41,jhm,2002-10-21 15:58:47
TO/JO/128,JO,128,T/JO/995,True,,,Burning feet,jhm,2002-10-21 15:58:48,jhm,2002-10-21 15:58:59
TO/JO/129,JO,129,T/JO/995,True,,,Hanging by thumbs,jhm,2002-10-21 15:58:59,jhm,2002-10-21 15:59:04
TO/JO/130,JO,130,T/LA/1295,True,,,,jhm,2002-10-31 12:33:57,jhm,2002-10-31 12:34:05
TO/JO/25,JO,25,T/JO/831,True,1/1662,1661-12-10 00:00:00,Sleep Deprivation,jhm,2001-10-04 09:18:12,jhm,2002-10-08 08:51:39
TO/JO/27,JO,27,T/JO/832,True,1/1662,1661-12-10 00:00:00,Sleep Deprivation,jhm,2001-10-04 09:30:59,jhm,2002-10-08 09:17:02
TO/JO/29,JO,29,T/JO/833,True,1/1662,1661-12-10 00:00:00,Sleep Deprivation,jhm,2001-10-04 09:37:46,jhm,2002-10-08 08:56:16
TO/JO/31,JO,31,T/JO/834,True,1/1662,1661-12-10 00:00:00,Sleep Deprivation,jhm,2001-10-04 09:43:38,jhm,2002-10-08 09:08:12
TO/JO/37,JO,37,T/JO/986,True,6/1662,1662-05-10 00:00:00,Sleep Deprivation,jhm,2001-10-11 13:19:56,jhm,2001-10-11 13:20:10
TO/JO/38,JO,38,T/JO/986,True,6/1662,1662-05-10 00:00:00,Burning feet,jhm,2001-10-11 13:20:10,jhm,2001-10-11 13:20:38
